Date,Season,Region,Site,Point,Lat,Long,Depth,Jap_name,Species,Cover,DW_g_m2,Person
2021/5/11,Flourish,TohokuPacific,Iwate,岩手県下閉伊郡普代村,40.0091,141.9137,3,Wakame,Undaria pinnatifida,93.3,1435.4,Kobayashi
2021/6/16,Flourish,TohokuPacific,Iwate,岩手県宮古市（ドウメキ）,39.5733,142.0507,1,Wakame,Undaria pinnatifida,100,2235.7,Kobayashi
2022/7/5,Flourish,TohokuPacific,Iwate,Ⅲ5　,39.73331382,141.9837708,4.8,Wakame,Undaria pinnatifida,100,354.96,Kobayashi
2022/7/5,Flourish,TohokuPacific,Iwate,Ⅲ8,39.73331382,141.9837708,5.5,Wakame,Undaria pinnatifida,60,505.76,Kobayashi
2022/7/5,Flourish,TohokuPacific,Iwate,Ⅲ9,39.73331382,141.9837708,8.1,Wakame,Undaria pinnatifida,90,378.16,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,Ⅲ6,39.73331382,141.9837708,4.7,Wakame,Undaria pinnatifida,50,375.26,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,Ⅲ7,39.73331382,141.9837708,4.9,Wakame,Undaria pinnatifida,90,943.08,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,Ⅲ8,39.73331382,141.9837708,4.7,Wakame,Undaria pinnatifida,70,306.24,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,Ⅲ9,39.73331382,141.9837708,7.9,Wakame,Undaria pinnatifida,5,25.23,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,V5,39.73331382,141.9837708,4.8,Wakame,Undaria pinnatifida,80,491.26,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,V7,39.73331382,141.9837708,5.6,Wakame,Undaria pinnatifida,30,61.77,Kobayashi
2019/7/4,Flourish,TohokuPacific,Iwate,Ⅲ6,39.73331382,141.9837708,3.4,Wakame,Undaria pinnatifida,50,146.16,Kobayashi
2018/7/3,Flourish,TohokuPacific,Iwate,Ⅲ6,39.73331382,141.9837708,3.6,Wakame,Undaria pinnatifida,20,111.65,Kobayashi
2018/7/3,Flourish,TohokuPacific,Iwate,Ⅲ7,39.73331382,141.9837708,3,Wakame,Undaria pinnatifida,10,79.17,Kobayashi
2016/7/11,Flourish,TohokuPacific,Iwate,Ⅲ5,39.73331382,141.9837708,3.8,Wakame,Undaria pinnatifida,20,80.04,Kobayashi
2018/5/14,Flourish,NorthJapanSea,Sado,L1,38.33215278,138.5138389,3,Wakame,Undaria pinnatifida,3,3.08792,Hamaoka
2018/5/14,Flourish,NorthJapanSea,Sado,L1,38.33215278,138.5138389,5,Wakame,Undaria pinnatifida,3,8.9784,Hamaoka
2018/5/14,Flourish,NorthJapanSea,Sado,L1,38.34008056,138.5151611,12,Wakame,Undaria pinnatifida,0,0.72384,Hamaoka
2018/5/30,Flourish,NorthJapanSea,Sado,L2,38.33652222,138.4832889,5,Wakame,Undaria pinnatifida,90,370.55272,Hamaoka
2018/5/30,Flourish,NorthJapanSea,Sado,L2,38.33793333,138.4826694,7,Wakame,Undaria pinnatifida,3,7.2152,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L3,38.3152,138.4638083,1,Wakame,Undaria pinnatifida,20,166.84976,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L3,38.3152,138.4638083,3,Wakame,Undaria pinnatifida,3,17.62736,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L3,38.3152,138.4638083,5,Wakame,Undaria pinnatifida,30,200.01648,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L3,38.31825556,138.4590611,12,Wakame,Undaria pinnatifida,10,21.34632,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L4,38.29206944,138.4428056,1,Wakame,Undaria pinnatifida,0,32.06704,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L4,38.29206944,138.4428056,3,Wakame,Undaria pinnatifida,0,12.08952,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L4,38.29206944,138.4428056,5,Wakame,Undaria pinnatifida,0,6.09,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L4,38.29629444,138.4336889,7,Wakame,Undaria pinnatifida,10,0,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L4,38.29629444,138.4336889,12,Wakame,Undaria pinnatifida,10,6.95072,Hamaoka
2018/5/22,Flourish,NorthJapanSea,Sado,L5,38.25659722,138.430575,3,Wakame,Undaria pinnatifida,3,5.34528,Hamaoka
2018/5/22,Flourish,NorthJapanSea,Sado,L6,38.25124444,138.3976333,1,Wakame,Undaria pinnatifida,40,354.93912,Hamaoka
2018/5/22,Flourish,NorthJapanSea,Sado,L6,38.25124444,138.3976333,3,Wakame,Undaria pinnatifida,30,169.5456,Hamaoka
2018/5/22,Flourish,NorthJapanSea,Sado,L6,38.25124444,138.3976333,5,Wakame,Undaria pinnatifida,3,5.99952,Hamaoka
2018/5/22,Flourish,NorthJapanSea,Sado,L6,38.25251389,138.3965,7,Wakame,Undaria pinnatifida,5,79.77088,Hamaoka
2018/5/21,Flourish,NorthJapanSea,Sado,L7,38.22785556,138.3783972,1,Wakame,Undaria pinnatifida,10,168.73824,Hamaoka
2018/5/21,Flourish,NorthJapanSea,Sado,L7,38.22785556,138.3783972,3,Wakame,Undaria pinnatifida,40,356.352,Hamaoka
2018/5/21,Flourish,NorthJapanSea,Sado,L7,38.22785556,138.3783972,5,Wakame,Undaria pinnatifida,70,585.78144,Hamaoka
2018/5/21,Flourish,NorthJapanSea,Sado,L7,38.23261944,138.3708444,7,Wakame,Undaria pinnatifida,10,60.33624,Hamaoka
2018/5/21,Flourish,NorthJapanSea,Sado,L7,38.23261944,138.3708444,12,Wakame,Undaria pinnatifida,10,21.67576,Hamaoka
2018/5/21,Flourish,NorthJapanSea,Sado,L8,38.20982778,138.356575,1,Wakame,Undaria pinnatifida,10,95.0388,Hamaoka
2018/5/21,Flourish,NorthJapanSea,Sado,L8,38.20982778,138.356575,3,Wakame,Undaria pinnatifida,10,32.65168,Hamaoka
2018/5/21,Flourish,NorthJapanSea,Sado,L8,38.21321111,138.3506444,7,Wakame,Undaria pinnatifida,30,144.49888,Hamaoka
2018/5/27,Flourish,NorthJapanSea,Sado,L9,38.19295,138.3254028,1,Wakame,Undaria pinnatifida,5,212.52824,Hamaoka
2018/5/27,Flourish,NorthJapanSea,Sado,L9,38.19295,138.3254028,3,Wakame,Undaria pinnatifida,5,153.35896,Hamaoka
2018/5/27,Flourish,NorthJapanSea,Sado,L9,38.19295,138.3254028,5,Wakame,Undaria pinnatifida,3,15.98712,Hamaoka
2018/5/27,Flourish,NorthJapanSea,Sado,L9,38.19752222,138.3173056,7,Wakame,Undaria pinnatifida,10,75.58328,Hamaoka
2018/5/27,Flourish,NorthJapanSea,Sado,L9,38.19752222,138.3173056,12,Wakame,Undaria pinnatifida,3,12.72984,Hamaoka
2018/5/26,Flourish,NorthJapanSea,Sado,L10,38.17259167,138.3132111,1,Wakame,Undaria pinnatifida,3,4.44512,Hamaoka
2018/5/26,Flourish,NorthJapanSea,Sado,L10,38.17259167,138.3132111,3,Wakame,Undaria pinnatifida,3,151.46352,Hamaoka
2018/5/26,Flourish,NorthJapanSea,Sado,L10,38.17259167,138.3132111,5,Wakame,Undaria pinnatifida,20,43.53944,Hamaoka
2018/5/26,Flourish,NorthJapanSea,Sado,L10,38.17536111,138.3080806,7,Wakame,Undaria pinnatifida,3,7.48896,Hamaoka
2018/5/27,Flourish,NorthJapanSea,Sado,L10,38.17536111,138.3080806,12,Wakame,Undaria pinnatifida,3,19.54136,Hamaoka
2018/5/26,Flourish,NorthJapanSea,Sado,L11,38.15138611,138.3011278,7,Wakame,Undaria pinnatifida,3,0,Hamaoka
2018/5/29,Flourish,NorthJapanSea,Sado,L12,38.12241389,138.2723556,1,Wakame,Undaria pinnatifida,30,181.5864,Hamaoka
2018/5/29,Flourish,NorthJapanSea,Sado,L12,38.12241389,138.2723556,3,Wakame,Undaria pinnatifida,90,927.6172,Hamaoka
2018/5/29,Flourish,NorthJapanSea,Sado,L12,38.12241389,138.2723556,5,Wakame,Undaria pinnatifida,95,793.51656,Hamaoka
2018/5/29,Flourish,NorthJapanSea,Sado,L12,38.12501111,138.2677028,7,Wakame,Undaria pinnatifida,70,728.17376,Hamaoka
2018/5/29,Flourish,NorthJapanSea,Sado,L12,38.12501111,138.2677028,12,Wakame,Undaria pinnatifida,3,3.1204,Hamaoka
2018/5/29,Flourish,NorthJapanSea,Sado,L13,38.09613889,138.2488194,1,Wakame,Undaria pinnatifida,90,615.264,Hamaoka
2018/5/20,Flourish,NorthJapanSea,Sado,L13,38.09613889,138.2488194,5,Wakame,Undaria pinnatifida,0,3.36864,Hamaoka
2018/5/29,Flourish,NorthJapanSea,Sado,L13,38.09764167,138.2455278,12,Wakame,Undaria pinnatifida,5,50.38344,Hamaoka
2018/5/25,Flourish,NorthJapanSea,Sado,L14,38.06805278,138.2402806,1,Wakame,Undaria pinnatifida,40,268.4124,Hamaoka
2018/5/25,Flourish,NorthJapanSea,Sado,L14,38.06805278,138.2402806,3,Wakame,Undaria pinnatifida,30,148.8512,Hamaoka
2018/5/25,Flourish,NorthJapanSea,Sado,L14,38.06805278,138.2402806,5,Wakame,Undaria pinnatifida,3,9.10368,Hamaoka
2018/5/25,Flourish,NorthJapanSea,Sado,L14,38.06920278,138.2357194,7,Wakame,Undaria pinnatifida,10,43.906,Hamaoka
2018/5/24,Flourish,NorthJapanSea,Sado,L15,38.03761111,138.2352139,1,Wakame,Undaria pinnatifida,75,617.71856,Hamaoka
2018/5/24,Flourish,NorthJapanSea,Sado,L15,38.03761111,138.2352139,3,Wakame,Undaria pinnatifida,30,224.09808,Hamaoka
2018/5/24,Flourish,NorthJapanSea,Sado,L15,38.03761111,138.2352139,5,Wakame,Undaria pinnatifida,60,135.3604,Hamaoka
2018/5/24,Flourish,NorthJapanSea,Sado,L15,38.03732222,138.2158889,7,Wakame,Undaria pinnatifida,10,35.80224,Hamaoka
2018/5/24,Flourish,NorthJapanSea,Sado,L16,38.01936389,138.2234639,1,Wakame,Undaria pinnatifida,10,106.2212,Hamaoka
2018/5/24,Flourish,NorthJapanSea,Sado,L16,38.01936389,138.2234639,3,Wakame,Undaria pinnatifida,3,6.2524,Hamaoka
2018/5/24,Flourish,NorthJapanSea,Sado,L16,38.01936389,138.2234639,5,Wakame,Undaria pinnatifida,3,163.20736,Hamaoka
2018/5/24,Flourish,NorthJapanSea,Sado,L16,38.01893056,138.2179694,7,Wakame,Undaria pinnatifida,20,54.64064,Hamaoka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,2.7,Wakame,Undaria pinnatifida,90,928.93,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,2.5,Wakame,Undaria pinnatifida,80,1017.09,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,4.5,Wakame,Undaria pinnatifida,90,1204.54,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,4.4,Wakame,Undaria pinnatifida,50,430.13,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,3.9,Wakame,Undaria pinnatifida,90,719.66,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,3.8,Wakame,Undaria pinnatifida,90,1136.8,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,4.8,Wakame,Undaria pinnatifida,80,560.98,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,5,Wakame,Undaria pinnatifida,50,214.37,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,4.4,Wakame,Undaria pinnatifida,30,103.01,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,4.6,Wakame,Undaria pinnatifida,50,475.6,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,5.2,Wakame,Undaria pinnatifida,40,455.18,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,4.8,Wakame,Undaria pinnatifida,20,80.74,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,3.7,Wakame,Undaria pinnatifida,20,133.63,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,3.6,Wakame,Undaria pinnatifida,50,276.54,Onitsuka
2022/4/8,Flourish,CentralPacific,Arasaki,Arasaki,35.19508763,139.5959293,3.5,Wakame,Undaria pinnatifida,55,503.44,Onitsuka
